"PitcherId","Pitcher"
"10109174","Kopetski, Josh"
"1000198484","Wells, Mateo"
"10105468","Young, Sam"
"825306","Ralamb, Karl"
"10922353","Brown, Kevin"
"1000142989","Nadel, Jasper"
"822389","Hemmesch, Tyler"
"10102352","Curley, TJ"
"831436","Wells, Micah"
"1000347281","Kapica, Andrew"
"826712","Achey, Thomas"
"831181","Hughes, John"
"832161","Devenney, Michael"
"1000135304","Waterman, Ben"
"839723","Michel, Sam"
"1000571892","Beasley, James"
"10308467","Glickman, Mason"
"806175","O'Donnell, Landon"
"839407","Marzo, Ethan"
"1000145290","Santerre, Ethan"
"10927946","Diaz, Brycen"
"1000439668","Galusha, Thomas"
"1000263013","Chamberlain, Liam"
"1000145375","Hines, Jacob"
"807066","Salsberg, Zev"
"835368","Fellings, Tro"
"10106346","Kochanowicz, Cole"
"830993","Curry, Stephen"
"1000507608","Payne, Alex"
"1000363576","Gyauch-Quirk, Noah"
"821517","Bollinger, MJ"
"821521","Hickman, Benton"
"1000396983","Gibson, Cole"
"826310","Barton, Hudson"
"836324","McCarthy, Dylan"
"808838","VanDeWater, Ryan"
"832396","Billings, Luke"
"10147688","Confreda, Brennan"
"1000409959","Delph, Michael"
"814196","Smith, Jack"
"10151000","Cruz, Matthew"
"10249738","Beames, Teagan"
"814519","Applefield, Kalen"
"831012","Christopher, Mason"
"829145","Snyder, Garrett"
"822764","McCain, Bryce"
"822763","Kennedy, Jake"
"1000095497","Tamm, Preston"
"1000310698","Tringe, Andrew"
"1000144772","Franco, Samuel"
"10997663","Tarisa, Hayden"
"1000266232","Scholl, Logan"
"1000275061","Mucciarone, Alfred"
"1000403367","Williams, Riley"
"1000152694","Mowad, Ian"
"1000072310","Bruno, Gregory"
"1000363270","LeFrancois, Jake"
"1000265303","Mahoney, Matt"
"10149518","Allen, Caleb"
"1000412303","Ensell, Jack"
"1000230434","Hulcher, Jackson"
"1000504618","Kuzior, Brodie"
"1000214404","Kahn, Matthew"
"824464","DeRossi-Cytron, Eli"
"1000301823","Vargas, Aiden"
"1000143508","Brown, Ryan"
"10079512","Collins, Kody"
"842265","Pavia, Niklas"
"1000143428","Foster, Jakob"
"10062877","Phillips, Mason"
"10027947","Burgess, Brady"
"10898942","Santaella, Eric"
"1000304553","Guthrie, Parker"
"1000462608","Causey, Dylan"
"1000337363","Hegarty, John"
"839726","Fryer, Justin"
"812926","Bergsma, Charley"
"816116","Jacobs, Andrew"
"1000469595","Perry, Samuel"
"830350","Telfer, Trey"
"1000252876","Moore, Kellen"
"10321666","LaPrade, Joe"
"837589","Maher, Cooper"
"10074062","Sams, Steven"
"1000273378","Currier, Nolan"
"1000369132","Silverstein, Justin"
"1000166732","Hill, Alex"
"1000336706","LaBuda, Maddex"
"1000115656","Costello, Anthony"
"1000199116","Schmidt, Samuel"
"1000390587","Ruditzky, Jack"
"1000467210","Ruggiero, Dominic"
"1000467077","Mulvaney, Jimmy"
"821733","Davis, Jack"
"10109633","Dally, Jake"
"840325","McDermott, Eamon"
"1000511452","Longoria, Tyler"
"840595","Gilson, Brayden"
"828053","Beliveau, Tanner"
"1000222328","Borrero, Ismael"
"10090619","Zimmerman, Jack"
"1000470412","Seelig, Koby"
"1000328184","Korthas, Jack"
"1000097853","Diehl, Liam"
"835480","Stone, Tyler"
"10106321","Yochum, Simon"
"1000282000","Tedeschi, Tyler"
"1000295537","Krzysiak, Brody"
"1000213935","Kerstetter, Richie"
"1000143629","Johnson, David"
"1000401321","Higgins, Matt"
"1000249842","Batt, Kyle"
"10108654","Eaton, Elliott"
"1000263844","Tamburro, Nick"
"822455","Walker, Brendan"
"828089","Wren, Grant"
"10149462","Kimble, Kaden"
"10264229","Lenahan, Jake"
"1000174557","Basso, Owen"
"1000313335","Madigan, Michael"
"1000271565","Frederick, Victor"
"1000144691","Pinsonnault, Jason"
"831961","Mass, John"
"837529","Hale, Charlie"
"836323","Deschenes, Luke"
"807132","Wall, Carter"
"1000318641","Hauser, Rex"
"1000145142","Rumpf, Brennan"
"1000190925","Sliwkowski, Drew"
"10146182","Gendi, Andrew"
"10002314","Budd, Davis"
"834974","Miller, Maddox"
"10103561","Smith, Glenn"
"1000464224","Rhodes, Parker"
"815353","Booth, Braden"
"1000337479","Mulligan, Sean"
"835934","Stahl, Zane"
"831525","Bailey, Ryan"
"10294512","Lippman, Hank"
"829229","DeLoreto, Dominic"
"813308","Lepine, Andrew"
"837528","Gilchrist, Rob"
"1000297889","Reid, Dylan"
"1000446176","Sarno, Jack"
"10318050","Doney, Josh"
"10148863","Geissler, Michael"
"1000267754","Mulvehill, Jake"
"1000144647","Hunt, Ethan"
"10031157","Milewski, John"
"1000115152","Sejnoha, Trey"
"832080","Middleton, Andrew"
"1000510342","Antelman, Keegan"
"831440","Smith, Brian"
"1000323758","Griffith, Ben"
"10150672","Rondon, Julian"
"1000390289","Gates, Garret"
"1000208284","Davis, Ty"
"263296","Riordan, Liam"
"838311","Hwang, Alex"
"803451","Power, Trey"
"839110","Lodgek, Jake"
"10180423","Lovinelli, Madux"
"838364","Heyl, Matthew"
"831151","Cruz, Angel"
"822816","Marchetti, Max"
"838148","Waddle, Cooper"
"1000139061","Gearhart, Warner"
"10148020","Brown III, Robert"
"10090742","Pleasant, Carver"
"1000571885","Keaveney, Cameron"
"1000571884","Lee, Lorcan"
"837586","Mahoney, Tom"
"10178850","Caldwell, Jackson"
"1000467061","Engle, Harrison"
"832095","Powers, Callen"
"837591","Longo, Scott"
"822820","Coniglio, Nick"
"814192","Hernandez, Chris"
"815956","Grant, Alex"
"830549","Shaw, Connor"
"839405","Gelbsman, Aidan"
"10960783","Urian, Nolan"
"10030873","Freeman, Cameron"
"815865","O'Connell, Aiden"
"840395","Cavallo, Hudson"
"837543","Spirito, Frank"
"1000389057","Calise, Rocco"
"1000571891","Dooley, Joe"
"1000115690","Bassett, Nathan"
"10923236","Formus, Sam"
"1000460180","Bounds, Burkley"
"838275","Zagar, Kyler"
"812773","Allen, Will"
"827355","Smith, Drew"
"10108803","Bradshaw, Michael"
"10147514","Taylor, Will"
"1000145570","Weber, Max"
"832255","McClaskey, Mickey"
"10150954","Jernigan, Connor"
"822825","McSweeney, David"
"814104","Schuyler, T.J."
"10108996","Bubba, Anthony"
"1000527403","Green, Artie"
"10121418","Hendrix, Charlie"
"838303","Deering, Sawyer"
"835224","Renfroe, Ryan"
"1000145668","McNaught, Ray"
"838611","Chamberlain, Chase"
"828083","Olson, Joe"
"1000352992","Luther, Vincent"
"840006","Young, Joey"
"830780","Vorster, Kian"
"1000136491","Virtudes, Timmy"
"823234","Gold, Ryan"
"1000155007","Wheaton, Gage"
"840475","Pontbriant, Dominic"
"1000561206","Gouin, Justin"
"10074043","Morr, James"
"838048","Leed, Braden"
"1000467076","Miller, Brendon"
"10139899","Creed, Will"
"1000194913","Santivanez, Nicholas"
"1000145336","Ballou, Jack"
"834646","Gregory, Calvin"
"815871","Lane, Connor"
"1000463233","Jennings, Parker"
"827866","Bradley, Grant"
"1000145617","Kelly, Nick"
"1000236632","Poncini, Michael"
"1000439977","Bouchard, Brady"
"1000187241","Hinchliffe, Jackson"
"1000145756","Bronson, Steven"
"1000150216","Coleman, Will"
"10106652","Sarre, Serigne"
"10303050","Kennedy, Jacob"
"839430","Hartman, Trace"
"1000304871","Guzman, Randy"
"1000349851","Arroyo, Ashton"
"10050660","Trout, Luke"
"837524","Aasland, Tristan"
"1000096079","Yennaco, Cole"
"824472","Falla, Nick"
"1000347188","Colagrande, Hunter"
"815405","Gregor, Jake"
"837403","Ogg, Robert"
"834868","Edwards, Mack"
"10314161","Jachens, Lukas"
"1000460328","Lind, Parker"
"10997666","Lazaro, Danny "
"1000161274","Jones, Charlie"
"1000571654","Paradis, Jordan"
"1000390898","Collender, Sebastian"
"828347","Schlote, Nate"
"10070692","Rose, Ethan"
"10083845","Berry, Noah"
"1000323482","Geisler, Nolan"
"1000142957","Brown, Ian"
"1000149335","Kiafoulis, Anthoni"
"839428","Fleming, Eli"
"1000571883","Gamelli, Gian"
"1000231088","Brodt, Walker"
"837536","Peters, Kyle"
"1000368863","Fithian, Luke"
"1000279173","Koch, Bryce"
"1000480612","Pontbriant, Dominic"
"1000336839","Faulcon, Kayden"
"1000278041","Rettig, Will"
"1000437384","Magill, Gus"
"10285333","Creighton, George"
"1000092129","Whitehill, Simmi"
"1000450055","Terzo, Noah"
"1000115702","Blumetti, Tyler"
"1000404002","Hawes, Jack "
"1000145419","LaParde, Joe"
"1000349944","Sotero, Quinn"
"830275","Giangreco, Kristofer"
"1000261675","Sullivan, Thomas"
"1000419281","Vicini, Brant"
"1000336830","Paradis , Gordan "
"831148","Basel, Andrew"
"1000455563","Dawson, Jack"
"1000126772","Andrews, Jake"
"1000255572","Elson, Beau"
"1000161267","Denton, Aiden"
"1000452695","Anderson, Rhys"
"1000229021","Wertz, Andrew"
"832419","Lordi, James"
"1000450955","Rosario, Thomas"
"1000455530","Forrest, Charlie"
"813967","Fernandez, Michael"
"811689","Mastroianni, Marcello"
"1000352719","Donahue, Marshall"
"831902","Tahnk, Owen"
"1000361569","Lepine, Andrew "
"1000144645","Miles, Elliot"
"1000136252","Buecker, Brendan"
"1000091387","Reese, Ripken"
"1000142924","Wywoda, Declan"
"10106426","Longoria, Tyler"
"1000298738","Oppenheim, Drew"
"10270744","Creighton, Jay"
"1000356055","Smith, Drew"
"1000452694","Bardwell, Jacob"
"830748","Mitchell, Sam"
"1000302007","Donohue, Gavin"
"1000288611","Bott, CJ"
"10310495","Aasland, Tristan"
"809871","Olson, Logan"
"806177","Ossenfort, Matt"
"809083","Seymour, Randy"
"1000307659","Rooks, AJ"
"806050","Craska, Petey"
"1000213617","Crochet, Reese"
"1000222324","Steed, Thrasher"
"1000115740","Kernodle, Jake"
"805005","Elarton, Kenan"
"10291355","Direnzo, Matthew"
"825277","DiLorenzo, Jackson"
"1000339433","Spadaccini, Teo"
"10274050","Ellis, James"
"814834","McDevitt, Josh"
"1000142876","Goglia, Brian"
"10920883","Kasbarian, Alexander"
"815487","Lollin, Harrison"
"10135925","Mitchell, John D"
"1000273329","Winn Jr., TJ"
"10061232","McCarthy, Dylan"
"1000392179","Leon, Pedro"
"1000392646","Beard, Austin"
"830749","Ball, Connor"
"10927804","Floyd, David"
"1000283347","Magdits, Logan"
"806243","Teague, Nate"
"1000278790","Yozzo, Stefano"
"1000271314","Helmick, Tristan"
"1000397875","Noble, Nick"
"1000152863","Puglisi, Nolan"
"1000181678","Powers, Jackson"
"1000372563","Battersby, Calvin"
"1000228989","Parks, Samuel"
"1000305021","Ruggiero Jr., Johnny"
"1000270096","Thompson, Jt"
"1000397399","Stephenson, Sean"
"1000138110","Stang, Bobby"
"1000367090","Hanawalt, Chase"
"1000222329","Wajda, Jack"
"804418","Jergins, Andrew"
"830140","Geddes, Trevor"
"10103201","Slowik, Ethan"
"1000320525","McCrary, Max"
"1000383915","Morris, Brenden "
"1000276164","Chaffee, Evan"
"1000388162","Crowe, Owen"
"1000145419","LaPrade, Joe"
"809063","Peek, Connor"
"831313","Ellison, Oliver"
"831310","Bell, Tadan"
"1000148970","Ozias, Logan"
"1000448230","Gill, Ben"
"1000144622","Toriello, Connor"
"1000348027","Cook, Alex"
"1000396951","Libby, Jason"
"1000229010","Friedman, Pierce"
"811691","Melton, Nic"
"814199","Julius, Blake"
"1000450954","Polley, Griffin"
"801953","Whitmer, Marshall"
"830781","Murphy, Casen"
"1000390611","Broadhead, Teague"
"1000448871","Nichols, James"
"815516","O'Leary, Cade"
"1000296897","Perry, Braeden"
"828754","Lavigueur, Luc"
"1000220122","Wolf, Conor"
"1000302081","Burns, William"
"831909","Dowling, Ryan"
"1000106568","Newell, Will"
"10307830","Griffin, Conner"
"1000226268","Potter, Aaron"
"10120803","Harrigan, Will"
"810942","Hertzler, Noah"
"824039","Dowdle, Colin"
"809690","Griffin, Ryan"
"10312382","Deschenes, Luke"
"1000303711","Wilson, Ethan"
"1000092109","Hilburger, Kaden"
"1000142956","Hoxie, Hunter"
"816124","Kieck, Chayce"
"824525","Rabatin, Ben"
"1000191262","McNeely, Colby"
"1000161915","Dubie, Peter"
"10035105","Davis, Morgan"
"811253","Fehrman, Cole"
"1000168229","Moynihan, Robert"
"808836","Pascarelli, Kolby"
"1000397490","Gunzy, JT"
"822508","Johnson, Carson"
"822651","Koshy, Andrew"
"1000121044","Hsu, Brandon"
"1000260489","Spizzoucco, Vincent"
"807285","Bristow, Tristan"
"831929","Renner, Carson"
"1000343757","Adams, Brandon"
"1000257097","Salvati, Kyle"
"1000341489","Petraitis, AJ"
"1000143908","Nevills, EJ"
"1000374122","Ogg, Robert"
"1000356066","Hutchinson, Sam"
"1000151623","McLendon, Harper"
"809687","Hauser, Joseph"
"10146226","Matuschat, Bryan"
"822665","McKnight, Bryce"
"830133","Niedringhaus, Jack"
"1000107529","Peters, Kyle"
"1000361023","Barroqueiro, Jayden"
"1000139034","Reyes, Matt"
"10264251","Dean, Ben"
"10108366","Quinn, Jonathan"
"815192","Gatwood, Connor"
"1000139635","Zajac, Chris"
"828760","Lasbury, Robert"
"833079","Harris, Leighton"
"830332","Felder, Ross"
"824291","O'Brien, Finbar"
"832380","Kulik, Marcel"
"1000152829","Taylor, Cole"
"815342","Ashford, Ryan"
"810845","Connolly, Cade"
"1000297888","Hicks, Baylor"
"10120441","Malone, John"
"832395","Bowie, Rhys"
"1000449461","Foster, Jake"
"1000301043","Peel, Nolan"
"1000437907","Pazdera, James"
"1000237203","Valenzuela, Sal"
"1000142463","Surigao, Joshua"
"1000139001","Golier, Grady"
"10149328","Albert, Cooper"
"1000337227","Kossow, Jackson"
"804897","Decker-Petty, Aydan"
"10102739","Zaslaw, Sean"
"809583","Downing, John"
"1000223433","Wallace, William "
"1000208245","Broderick, Zach"
"1000436792","Martinez, Christian"
"807310","Kling, Corey"
"1000417960","Progulske, Liam"
"1000231706","Tambascia, Nico"
"1000242930","Grotyohann, Connor"
"811679","Helsel, Garrett"
"822797","Hobb, Jerek"
"1000378182","Kinneen, Liam"
"1000452694","Bardwelll, Jacob "
"1000452694","Creighton, George"
"1000142838","Dowd, Aidan"
"831906","Abler, Andrew"
"816126","Wilkie, Anthony"
"1000358320","Synodi, Robert"
"10927804","Floyd , David "
"10148229","Coyne, Marty"
"821731","Brassill, Zach"
"1000132192","Davis, Jacob"
"10279344","Swiencicki, Eric"
"814150","Cropper, Jack"
"826692","Rogovic, Andrew"
"831092","Koenen, Drew"
"1000376523","Cordero, Anthony"
"830127","Bridenthal, Eli"
"1000144605","Hale, Charlie"
"831005","Torres, Jayson"
"1000352719","Donahue , Marshall "
"703634","Kniebbe, Todd"
"832478","Landwehr, JT"
"1000115694","Heyl, Matthew"
"1000121814","Peterson, Jonathan"
"1000390606","Richardson, Cole"
"1000095892","Potteiger, Jack"
"830747","Kittrell, Zach"
"10927755","Yesu, Trey"
"1000142849","Hwang, Alex"
"814347","Johnston, Jett"
"828457","Gluckman, Bryce"
"824032","Mascott, Cole"
"1000103223","Poliey, Clayton"
"1000213828","Villegas, Nash"
"1000305024","Hunkele, Nick"
"824471","Emmons, Kyle"
"1000233167","Melton, Nichols"
"827305","Lund, Ethan"
"1000383915","Morris, Brenden"
"1000391924","Ramnarace, Randy"
"1000404002","Hawes, Jack"
"1000167064","Franconere, JC"
"1000298954","Bruno, Matt"
"10108154","Callanan, Brendan"
"702552","Phillips, Brennan"
"1000114834","McMahon, Noah"
"832383","Yagesh, Brendan"
"830242","Hilker, Michael"
"702687","Colasante, Gio"
"823007","Lettow, Rohan"
"1000276163","Batuyios, Chris"
"813394","Shenosky, Skip"
"1000348964","Weaver, JT"
"815513","Neely, Jake"
"1000390604","Hughes, Caleb"
"10951258","Evard, Coen "
"814108","Hooker, Jake"
"10108925","Nowak, Ethan"
"1000209240","Shaw, Greg"
"807111","Alagheband, Luca"
"1000145314","Tarisa, Hayden"
"10083988","Winslow, Ben"
"10089215","Penswick, Robbie"
"1000146392","Smith, Koen"
"10317544","Brailey, Beau"
"1000259621","DeLucia, Drew"
"813960","Gay, Alex"
"10118762","Pino Jr., AJ"
"831150","Mulligan, Brett"
"830137","Chronister, Ashton"
"1000309655","Duffield, Joseph"
"10935123","Caruso, Jayden"
"10059739","Scheidt, Toby"
"811669","Gaines, Andrew"
"833476","Guerrero, JT"
"1000121029","Camera, Dominic"
"1000395802","Bedford, Chris"
"10146042","Sheehy, Ryan"
"1000209251","Pudvar, Oliver"
"10011442","Isler, Nate"
"1000317140","Davis, Sean"
"10302553","Rose, Liam"
"1000448230","Gill, Benjamin"
"831902","Tahnk, Owen "
"1000283347","Magdites, Logan "
"1000143112","Deitelbaum, Trey"
"1000388695","Rehkow, Ben"
"10927622","Lee, Matt"
"832094","Belliveau, Sam"
"10103730","Gilleran, James"
"1000214486","Kane, Nick"
"10121429","Wolff, Devin"
"695535","Debiec, Max"
"831896","McHugh, Ryan"
"1000193766","Albert, Eddie"
"1000439090","Rodriguez, David"
"810027","Rivera, Josh"
"1000244716","Valentine, Joseph"
"1000189235","Kopalchick, Isaac"
"10927807","Plummer, Mikey"
"809589","Ehly, Anthony"
"10105590","McDermott, Kyle"
"1000072067","Perez, Sebastian"
"10279133","Murphy, Nick"
"1000197357","Montelbano, Cooper"
"1000144733","Minckler, Matthew"
"10935745","Buecker, Brandon"
"815483","Lee, Oisin"
"1000213680","Mazza, Steven"
"1000361565","Goldberg, Thomas"
"1000115340","Whitney, John"
"10927624","Polumbo, Josuha"
"1000397837","Martin, Adam"
"800761","Lysik, Brendan"
"1000254727","Apple, Foster"
"1000301572","Alvarez, David"
"702514","Shatwell, Kade"
"703633","Walsh, Alex"
"815624","Tomlinson, Houston"
"10149314","Ziance, Austin"
"1000278037","Rollo, Jack"
"1000298943","Cutler, Andrew"
"1000216125","Coleman, Aidan"
"1000262201","Cook, Aiden"
"10927947","Ciaglo, Andrew"
"1000231662","Reiser, Nick"
"10927623","Montesa, Dawson"
"831162","Zatopek, Matt"
"1000139769","Savinon, Jordan"
"1000327341","Daniel, Conlan"
"1000220099","Howard, Flynn"
"809996","Levine, Jack"
"10278669","Cheeseman, Jeremy"
"1000214004","DiRito, Nicholas"
"1000143939","Castrichini, Joe"
"1000384696","Belcher, Michael"
"1000235155","Munn, Drew"
"1000443186","McDermott, Kyle"
"815616","Lyne, Blayne"
"822432","Coe, Chandler"
"1000145631","Pavia, Niklas"
"10002465","Smith, Braeden"
"1000182787","Cohen, Daniel"
"695650","Green, Glenn"
"10927803","Beassill, Zachary "
"1000361569","Lepine, Andrew"
"1000298954","Bruno, Matthew"
"1000214121","Chambers, Joseph"
"805563","Coppola, Christian"
"809696","Walsh, Carson"
"813955","Abbazia, Joey"
"1000362743","Geiser, Jack"
"821721","Lendrum, Parker"
"10109409","Halcisak, Josh"
"1000274229","Heney, Kellan"
"10877911","Paolicelli, Anthony"
"831006","Byrne, Connor"
"1000132334","Spizzoucco, Vince"
"10147567","Sanford, Braydon"
"831938","VanOstenbridge, Matthew"
"10927948","Miles, Parker"
"1000229020","Brulport, Max"
"1000135373","Walsh, Jackson"
"1000310654","Burke, Keegan"
"10055103","Chae, Yoon"
"822579","Martinez, Matthew"
"1000241966","Cheatham, Cole"
"1000298959","Kling, Corey"
"1000127362","Diaz, Christopher"
"810069","Lajoie, Josh"
"1000337294","Fletcher, Matthew"
"1000202749","Seils, Brett"
"811688","Lorenzetti, Michael "
"1000156791","Extra 1 "
"10319698","Kell, Kevin"
"10020326","Tolis, Emmett"
